昵称,首页地址,阅读数,最近一条推文,最近推文时间,数据更新于,行业,行业标签,行业排名,行业Top5
夏雨婷,https://x.com/cherylnatsu,3650,有人将人工智能芯片比作核武器，黄仁勋对此类类比十分反感，称其毫无道理可言。 ——— 我同意老黄不能直接类比核武器。事实上，人工智能比核武器可怕的多，可以完全塑造战争和社会形态新的规则，比如川普让五角大楼用Claude抓捕马杜罗，“让领导先走”，比核武器威慑力大多了。,2026-05-17T12:29:33+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,43,
0xNorth,https://x.com/anorth_chen,38000,巧了么这不是，我是多伦多大学CS 3.7 GPA + 两份实习经验，20年在加拿大一样找不到好工作。以至于当时的我开始怀疑人生，我不知道自己还要付出怎样的努力才能有个不错的校招offer。 于是我选择了回国，发现任何大厂只要我投简历就有面试，我终于感受到了名校cs科班学生+实习经验带来的求职体验。并且正式入职后的能力表现远超同期其他几个c9硕士，被师兄和主管重点培养，于是我能在阿里本科三年就升到P7。 我对所有在加拿大还在读书想有个人职业发展的朋友们只有一个建议：不要留在加拿大。遇到挫折不要怀疑自己，加拿大这个地方真的很傻逼。,2026-05-16T06:57:43+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,14,
柴郡｜Crypto+AI Plus,https://x.com/0xCheshire,26000,黄仁勋 ( Nvidia 首席执行官 ) ：“每位工程师都将拥有并管理数百个AI 智能体。” 未来的工作就是管理和构建多智能体工作流。,2026-05-17T14:38:53+00:00,2026-05-17T21:24:00+00:00,crypto,加密,10,
0,https://x.com/lammichaeltw,3235,1400年來，伊斯蘭黑社會組織利用欺詐、誘惑、暴力、恐怖、謀殺、侵略等各種野蠻手段掠他人土地和財產，並且擴張到世界各地。 整個世界，無論你是否伊斯蘭，都應該覺醒，尤其是伊斯蘭信徒，因為你的祖先並非伊斯蘭分子，而是被伊斯蘭利用邪惡陰謀加害而成的。 禁止和消滅野蠻和落後的伊斯蘭恐怖主義，是每一個追求文明的人類應盡的責任和義務。,2026-05-17T21:14:24+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,53,
老鬼,https://x.com/laogui,10000,看到很多人在推荐轻量级代码编辑器，我也来安利一个用了十几年的 macOS 老宝贝 —— CotEditor！ 它完全开源，作者 @1024jp 坚持维护十几年。当时的定位就是介于 TextEdit 和 BBEdit 之间，那时候 BBEdit 还很火，VS Code 连影子都没有。 CotEditor 界面干净、不花里胡哨，却把日常最需要的功能做得特别扎实： - 没有 AI、没有 LSP、没有 Git、没有插件、没有 Terminal，就是一个纯纯纯的文本编辑器； - 60+ 种语言语法高亮、超强正则查找替换、大纲导航、视图拆分； - 完美支持 Dark Mode、竖排文本； - CJK 语言优化极佳，对中文用户特别友好； - 还能用 Python/Ruby/AppleScript 写简单宏。 官网 或 Mac App Store 直接下载,2026-05-17T15:03:04+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,28,
Austin,https://x.com/austinit,33000,Token 阳痿了。 如果给你无限用的 Opus 4.7 + GPT 5.5 ，你会拿来做什么？ 现在我真有来自@cursor_ai 给的接近无限的顶尖模型 Token，但我的确不知道干啥好了。算了一下，如果不停的跟Cursor对着项目聊，一天最多也就消耗个几百刀。,2026-05-16T13:21:41+00:00,2026-05-17T21:24:00+00:00,ai_tools,AI 工具 / Agent,1,Y
Ray Wang,https://x.com/wangray,15000,中国电信推出 Token 套餐，看到额度我笑了，这怕是没用过 AI 的人定的 好比现在推出了一个30MB的流量包月,2026-05-17T20:09:27+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,25,
Hedy.eth,https://x.com/Crypto_hedyEth,30000,10个让你缺乏魅力的原因 1- 无趣的男人,2026-05-17T06:12:03+00:00,2026-05-17T21:24:00+00:00,crypto,加密,9,
池建强,https://x.com/sagacity,5353,崔健又在首体开演唱会了，2026“继续撒点野”，中国摇滚乐 40 周年，我没去，究其原因就是岁数大了不爱凑那个热闹。这样其实不好，不过最近 vibe 的脑瓜子 rourou 的，周末看看书歇会也不错。人不能老 vibe，盯着 token 就没有生活了。,2026-05-16T09:16:32+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,45,
CryptoMaid加密女仆お嬢様 .edge,https://x.com/maid_crypto,120000,踏空hype 去追aster的 你都不如去挖点standx 我还能高看你一眼,2026-05-17T19:19:30+00:00,2026-05-17T21:24:00+00:00,crypto,加密,2,Y
xiyu,https://x.com/ohxiyu,89000,这个要转，达不到大佬的高度，还是用得起大佬同款的。,2026-05-17T08:17:56+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,7,
图拉鼎,https://x.com/tualatrix,15000,写得真好！Why I Don’t Vibe Code,2026-05-17T16:19:07+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,26,
Craft4Fun,https://x.com/yihong0618,8636,可以买点 m5stack 的 esp32 小玩意，智能家居随便 vibe,,,unclassified,未分类,31,
Kg,https://x.com/langzihan,11000,让codex分析仓库写了提示词，然后用Nano banana 绘制。OpenClaw的架构图,,,unclassified,未分类,27,
M.,https://x.com/wlzh,23000,词元（Token）？ 词元（Token）是模型处理信息的最小计量单位 无论是用户的提问 还是AI生成的一段代码 最终都要被拆解成词元（Token）来完成运算 正因如此 词元（Token）调用量成为衡量AI模型活跃度和产业价值的关键指标， 词元（Token）调用量越高 意味模型被用得越多 创造的实际价值也就越大,2026-05-17T15:10:18+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,20,
MC,https://x.com/Maggie191919,56000,🔥 很多人还觉得“人形机器人”离现实很远，但真正的变化，其实已经开始从最无聊、最重复、最不需要情绪价值的工作里发生了。 最近 Figure AI 做了一件非常值得注意的事。 他们直接开了一场连续直播。 没有炫技。 没有跳舞。 没有表演。 只有一件事： 让 F03 人形机器人，在工厂里不停地搬运快递包裹。 从箱子里拿出包裹、 翻面、 扫码、 放上传送带、 继续下一件。 然后连续工作了 4 天半。 没有休息。 没有抱怨。 没有疲劳。 截至目前， 已经处理超过 10 万个包裹， 直播甚至还在继续。 很多人会觉得： “不就是搬快递吗？” 但真正重要的， 恰恰是： 它只是搬快递。 因为机器人行业过去最大的问题之一， 其实是： 大家总喜欢展示“未来感”。 跑步、 后空翻、 端咖啡、 模仿人类动作。 这些当然很酷。 但企业真正愿意付钱的， 从来不是“机器人像不像人”。 而是： 它能不能稳定替代人工。 而 Figure 这次直播真正想证明的， 其实只有一句话： 机器人已经开始具备“持续劳动能力”。 这件事的意义， 比很多人想象的大得多。 因为工厂、仓库、物流中心真正最缺的， 往往不是“聪明的人”。 而是： 愿意长期重复做同一件事的人。 尤其： 夜班 高重复动作 高流动率岗位 长时间站立 高疲劳工作 这些领域， 人类天然会疲劳。 但机器人不会。 所以现在机器人产业真正开始变化的地方， 已经不是： “机器人会不会动。” 而是： “机器人能不能持续工作。” 这是两个完全不同的阶段。 而一旦进入“持续劳动”阶段， 整个行业逻辑就会开始改变。 因为企业计算的， 将不再只是： “技术演示效果”。 而是： ROI。 如果一个机器人能够： 连续工作几天 几乎不休息 稳定执行 错误率可控 替代部分人力成本 那它就不再只是一个研发项目。 而是： 真正的生产力工具。 这也是为什么现在越来越多公司开始重新认真研究： 人形机器人真正最早落地的场景， 可能不是家庭。 而是： 仓储、 物流、 制造业、 工厂。 因为这些地方： 环境固定、 任务重复、 路径标准化。 最容易率先规模化。 很多人现在还觉得： 人形机器人距离大规模商业化还有很远。 但如果认真观察， 会发现行业已经从： “机器人能不能完成动作” 慢慢进入： “机器人能不能持续替代劳动” 而这一步， 其实才是真正开始改变世界的阶段。 因为一旦机器人开始具备： 稳定连续工作的能力， 接下来企业会问的问题就变成： “为什么还要继续依赖人类做这些工作？” 你觉得未来最先被人形机器人大规模替代的， 会是： 仓储物流、 还是制造业工厂？,2026-05-17T15:34:27+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,12,
Tinyfool,https://x.com/tinyfool,4938,这里面有两个问题，首先这个说法不是常用说法，不知道对应水，不算错。第二个问题是，如果真的细究这个说法，要看甲醛本身的成分，一般甲醛都包含甲醇，也就是工业酒精致盲的核心成分。而所谓的脱碳反应，如果可以实现的话，产物可能包括甲烷、甲醇、甲酸、缩合物、焦油状有机物、微粒碳。并不安全，所以说自己的食品不包含脱碳甲醛是合理的说法。,2026-05-17T13:36:22+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,46,
知识分享官,https://x.com/knowledgefxg,13000,一个网盘资源聚合搜索引擎：皮卡搜索 同时接入阿里云盘、夸克、百度网盘、蓝奏云、天翼云五大平台，资源量超过一千万，涵盖学习教程、电影美剧、动漫、电子书、编程设计素材等，基本上你想找的都能搜到。想搜各种网盘资源，可以先来这里搜一下，可以作为备用收藏一波。,2026-05-16T15:33:23+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,24,
小互,https://x.com/xiaohu,160000,OpenAI 正在偷偷做两件事 把 Codex 的「远程控制」从手机控自己电脑，往「手机控任意电脑」的方向推进... 5 月 14 日，OpenAI 给 ChatGPT 手机 App 加了个功能： 你在外面坐地铁，手机上可以看自己 Mac 上 Codex 在干嘛、审批它的命令、切换模型、派新任务。 但有个尴尬的限制 —— Mac 必须是醒着且解锁的状态，因为 Codex 用 Computer Use 来操作 GUI，需要真实看到屏幕、移动光标、敲键盘。 锁屏一下，整个远程控制就废了 第一件事：让 Codex 在锁屏状态也能干活 现在 OpenAI 正在开发的，是让 Computer Use 在 Mac 锁着或睡眠时也能继续操作。这样手机派出去的任务，比如「打开 Xcode 跑个测试」「在模拟器里点几下试试 GUI」「查个数据库」，不用你跑回去解锁电脑就能完成。,2026-05-17T00:33:16+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,5,Y
Yihui,https://x.com/yihui_indie,4287,是真的！,2026-05-17T06:28:13+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,40,
卡尔的AI沃茨,https://x.com/aiwarts,9873,Codex App移动端快速链接多台电脑的方法！ 把Codex App和手机版GPT更到最新版，Codex App自动会弹窗，之前要是没有安装这个浏览器自动化扩展的话，这次设置的时候也可以顺带加上了。 手机端的Codex其实是直接在ChatGPT iOS里的，不需要装一个新应用。对话里的模型权限比起电脑版多了一个选项，除了默认自动完全，还可以继承电脑端Codex APP上对于这个文件夹设置的权限。 因为我的Mac mini上面也有Codex App嘛，我就想试试看能不能连接上。因为当时mbp连接之后在手机端的最上方是会有一个当前电脑的远程地址的，而且会显示状态，连接在线就是绿色。 我就觉得它肯定有连其他电脑的方式，把Mac mini的Codex也更新到最新后，它同样出现了对应的步骤，但是唯独没有了扫🐎连接的步骤。后面我在手机端看呢，其实可以通过SSH连接的，不过就是对小白来说比较费事。 再后面我就发现了，如果把Codex完全退出，再进入之后，它不会有那个移动端配置引导的步骤情况下，在左侧对话框的右下角。会有一个手机的logo，点一下那个logo就会出现二维码，这时候扫就能够连接新的主机。 （ps 有概率会顶掉之前的那台所以SSH还是最稳定的） 天才来的。 而且移动端照样也可以给云端的Codex发任务，直接爽玩，也不需要考虑连接其他im平台，会不会时不时掉线了。 Hermes， OpenClaw， Claude Code们， 你们以后已经不可能掉线不干活了！,2026-05-15T10:36:50+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,33,
CMGS,https://x.com/CMGS1988,5763,嘿嘿 CH 新版发了,2026-05-15T17:01:43+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,42,
Snow Wolf,https://x.com/Snow_Wo1f,4325,终端隐形链：OSC 8超链接注入攻击,2026-05-17T16:32:09+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,49,
小众软件,https://x.com/appinn,6238,🎺 #发现频道 【开源自荐】iStart 一个为 macOS 26 打造的轻量级开始菜单与应用启动器,2026-05-17T13:03:52+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,37,
leifu _/,https://x.com/leifuchen,3803,非常好的总结，用这个分析框架看德鲁肯米勒的 Q1 13F，看来他空美元的判断短期要承压了。,2026-05-17T14:47:58+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,51,
23pds (山哥),https://x.com/im23pds,19000,完啦 昨天本来想发提醒：团伙攻击者盯上了Grafana… 结果现在官方发现了，Grafana大量漏洞要来了。🙂‍↔️,2026-05-17T07:02:59+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,22,
RainbowBird | 洛灵,https://x.com/luoling8192,22000,激情下单 MBP M5 Pro 48+2T ,,,ai_tech,AI / 大模型,20,
0xWizard,https://x.com/0xcryptowizard,31000,要再公开一个 ai 频道么？,2026-05-14T02:38:34+00:00,2026-05-17T21:24:00+00:00,crypto,加密,8,
0xAllen,https://x.com/0xAllen,22000,全职 Web3 以来越来越宅 庆幸的是老婆能和我玩到一块 无论是吃、喝、玩等等 我们几乎都能同频 这也进一步减弱我对外界的依赖,2026-05-17T08:00:05+00:00,2026-05-17T21:24:00+00:00,crypto,加密,12,
凯林,https://x.com/kaylyn_0x,34000,Base 链这次真的起风啦！ 无论是拉时线，日线还是周线，在 Base 链上总能发现一些优质标的是可以 PVE 的 时线 $aeon 从 180K 拉到 5.5M，30X 日线 $LFI 从 12K 拉到 12M，1000X 周线 $DIEM 从 800K 拉到 56M，70X 这完全不同于 SOL 和 BNB 链相对 PVP 的环境，各种标的慢的几小时，快的几分钟就能 P 完。它们纯靠注意力和情绪驱动，标的自身却并没有实际价值和收益支撑，注定归零 而 Base 链慢和稳的特性，天然可以吸引许多 Long term 的 Builders 来建设项目。相对于币的短期涨跌，他们更在意自己的项目产品能否落地和找到相对应的 PMF 对于推文开头分享的这几个标的里，深度投研一番，我发现自己对 $LFI 最感兴趣 像其他两个都纯 AI Agent 类别项目，做自主框架的 aeon 和蹭 VVV 相关的 DIEM，他们在 Base 链 AI 龙头 Virtuals 没起飞之前，我觉得项目天花板都很有限 LFI 则选择了完全不同的一条路，利用 RWA 做结算层把原本只属于机构的顶级税收现金流，拆到链上让散户也能无门槛参与 因为 Coinbase 主打合规，Base 背靠这棵大树，在 RWA 领域有着得天独厚的合规土壤。同时最近 ONDO 、 CFG（前段时间我有写相关推文分析👇）和 KTA 表现都很强势 意味着整个赛道的势起了！再回到 LFI，这个项目切入的是一个绝大多数 Web3 甚至传统投资者都没碰过的百亿级蓝海市场——美国各县的房产税留置权（Property Tax Lien） 1. 生意逻辑 简单来说，就是业主欠了政府的房产税，政府把这些债权打包拍卖。过去这是高盛、富达等老牌机构和顶级对冲基金的专属游戏（传统门槛至少 500 万美金以上的高净值用户，且有极严的风险风控） 现在 LFI 把这个路径彻底链上化了： 用户在 LFI 平台存入 USDC → 平台自动分配到不同县的留置权组合 → 业主为了保住房子还税和赎回 → 产生的利息+本金自动流回链上，分配给投资用户 这直接把资产的广度、深度和参与度充分打开。以前普通人连门槛都摸不到，现在用稳定币就能直接躺赚固定利息 2. 先有资产，再有 Crypto 项目 绝大多数 RWA 项目是“先讲故事、再找资产”，而 LFI 则是完全反过来的。其幕后团队是美国最大的房产税留置权对冲基金之一 Gondola Capital。他们在线下运营着成熟的 Tax Lien Fund，过去十几年专门给机构提供这类产品。 这次的原班人马直接下场，其中核心推动者 @MLeeJr 更是 Base 北美区大使，在 Base 生态的成绩和口碑极佳 在线下他们拥有顶级的房地产资源、经验和真实资产，链上对他们而言只是一个更高效的分销和结算层。这种自带降维打击的强背景和执行力，真不是随便编故事的项目能比的 3. 项目跑起来的实际数据面 • 真实资产池总价值已来到 12 万美金 • 累计产生利息 2300 多美金 • 已成功赎回 2 个留置权 • 示例县的实际收益率稳稳落在 5.0% — 9.4% 区间，秒杀绝大多数链上伪收益 现在多数 RWA 还在卷生息美债的利率结构，而 LFI 这类更接近真实世界强制执行产生的硬核现金流。它不仅是给稳定币找收益，而是把“收益从哪来、怎么来”这件事解释得明明白白 目前所有数据仍处于非常早期的阶段，往后看依然有巨大的成长空间。LFI 之前被低估，很大程度是因为它不是那种纯靠情绪、能短期爆发的叙事驱动型项目，所以我坚定持有 还要感谢 @cutepanda @yueya_eth @52Hz_eth 几位 Base 中文 Degen 的冲锋 最后，除了 LFI 外，我还投研出 Base 链还有同类项目正在积极 Build，目测过几天就会上线，有预感是一个很强的 Alpha 🤔,2026-05-17T08:41:40+00:00,2026-05-17T21:24:00+00:00,crypto,加密,7,
Aliez Ren,https://x.com/aliez_ren,17000,看来我必须再晒一下罗老师的「走出半生 注塑出来 仍是少年」系列盲盒手办了😍,2026-05-13T13:21:27+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,22,
Yangyi,https://x.com/yangyi,3170,牛马AI的Grok4.3好了！ 等着下个版本更新,2026-05-17T08:44:46+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,47,
