signal,agg,signal_col,description,ret_col,lag_days,n_days,ic,ls_spread,cum_sign_ret,industry,industry_label,max_rank,horizon,horizon_label,label_obs_tweets
sig_contrarian_x_viral,wmean,sig_contrarian_x_viral_wmean,反转 × 互动惊喜度（连续加权）,ind_ret_5m,0,39,0.1101,0.003809,0.0141,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_nlp_minus_lex,wmean,sig_nlp_minus_lex_wmean,NLP 与词典差 × 反转,ind_ret_5m,0,39,0.093,0.002959,-0.000671,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bear_crowd_strict,sum,sig_bear_crowd_strict_sum,严格恐慌：bear_ratio>0.5 才 bear_crowd,ind_ret_5m,0,39,0.0347,0.000158,0.020022,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_rank1_contrarian,sum,sig_rank1_contrarian_sum,仅行业 #1 KOL 反转,ind_ret_5m,0,39,0.0191,2.6e-05,0.004352,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_rank1_contrarian,wmean,sig_rank1_contrarian_wmean,仅行业 #1 KOL 反转,ind_ret_5m,0,39,0.0162,2.6e-05,0.004352,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_dual_confirm_contra,wmean,sig_dual_confirm_contra_wmean,看空 + 高互动双重确认反转,ind_ret_5m,0,39,0.0094,0.000904,0.024716,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_sentiment_delta_contra,sum,sig_sentiment_delta_contra_sum,情绪突变反转 × 影响力,ind_ret_5m,0,37,0.0089,0.000659,0.008064,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_viral_contrarian,wmean,sig_viral_contrarian_wmean,高互动惊喜帖才做情绪反转,ind_ret_5m,0,39,0.0044,0.001581,0.024992,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bear_bounce,wmean,sig_bear_bounce_wmean,仅明显看空帖反转（恐慌反弹）,ind_ret_5m,0,39,0.0024,-1e-05,0.040632,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bear_x_eng,wmean,sig_bear_x_eng_wmean,看空帖 × 互动惊喜 × 反转,ind_ret_5m,0,39,0.0021,0.000902,0.036653,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bear_only,wmean,sig_bear_only_wmean,仅看空情绪 × Influence,ind_ret_5m,0,39,-0.0033,0.000551,-0.047457,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_sentiment_delta,sum,sig_sentiment_delta_sum,情绪相对5日均值突变 × 当日影响力,ind_ret_5m,0,37,-0.0089,-0.000659,-0.008064,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_strong_bear_only,wmean,sig_strong_bear_only_wmean,强看空 (s<-0.2) 反转,ind_ret_5m,0,39,-0.0093,0.000578,0.038232,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_rank1_momentum,wmean,sig_rank1_momentum_wmean,仅行业 #1 KOL 跟随,ind_ret_5m,0,39,-0.0162,-2.6e-05,-0.004352,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_rank1_momentum,sum,sig_rank1_momentum_sum,仅行业 #1 KOL 跟随,ind_ret_5m,0,39,-0.0191,-2.6e-05,-0.004352,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_dual_confirm_contra,sum,sig_dual_confirm_contra_sum,看空 + 高互动双重确认反转,ind_ret_5m,0,39,-0.0599,-0.000282,0.024716,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_sentiment_x_likes,wmean,sig_sentiment_x_likes_wmean,Sentiment × log(1+likes),ind_ret_5m,0,39,-0.101,-0.000912,0.010133,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_attention_raw,wmean,sig_attention_raw_wmean,纯 Influence（无情绪）,ind_ret_5m,0,39,-0.1187,-0.000527,0.06628,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_engagement,wmean,sig_engagement_wmean,情绪 × 相对自身互动惊喜度,ind_ret_5m,0,39,-0.1314,-0.000462,0.010133,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bear_x_eng,sum,sig_bear_x_eng_sum,看空帖 × 互动惊喜 × 反转,ind_ret_5m,0,39,-0.1326,-0.001587,0.036653,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_views_weighted,wmean,sig_views_weighted_wmean,情绪 × log(views),ind_ret_5m,0,39,-0.1339,-0.00086,0.01258,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_original_post,wmean,sig_original_post_wmean,非转发帖 × Sentiment × Influence,ind_ret_5m,0,39,-0.1348,-0.004072,-0.012005,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_attention,wmean,sig_attention_wmean,Influence × sign(Sentiment),ind_ret_5m,0,39,-0.1361,-0.004212,-0.034169,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_net_crowd_contrarian,sum,sig_net_crowd_contrarian_sum,(看空占比−看多占比) × 情绪反转,ind_ret_5m,0,39,-0.1428,-0.000969,0.071679,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bull_x_eng,wmean,sig_bull_x_eng_wmean,看多帖 × 互动惊喜（对照）,ind_ret_5m,0,39,-0.147,-0.002206,0.037501,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_momentum,wmean,sig_momentum_wmean,跟随情绪 × 影响力（非反转）,ind_ret_5m,0,39,-0.1571,-0.003675,-0.017783,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_baseline,wmean,sig_baseline_wmean,Sentiment × Influence（原版）,ind_ret_5m,0,39,-0.1571,-0.003675,-0.017783,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_rank_weighted,wmean,sig_rank_weighted_wmean,Sentiment × Influence × Top排名权重,ind_ret_5m,0,39,-0.1636,-0.004098,-0.023914,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_strong_bear_only,sum,sig_strong_bear_only_sum,强看空 (s<-0.2) 反转,ind_ret_5m,0,39,-0.1656,-0.00072,0.038232,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bear_bounce,sum,sig_bear_bounce_sum,仅明显看空帖反转（恐慌反弹）,ind_ret_5m,0,39,-0.1718,-0.001587,0.040632,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_top_rank_only,wmean,sig_top_rank_only_wmean,仅行业排名前3 KOL,ind_ret_5m,0,39,-0.1876,-0.000961,-0.02305,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bull_crowd,sum,sig_bull_crowd_sum,看多帖占比 × 情绪（拥挤做多，对照）,ind_ret_5m,0,39,-0.2316,-0.001118,0.058302,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_disagreement,sum,sig_disagreement_sum,sig_disagreement,ind_ret_5m,0,39,-0.2346,-0.001477,0.029931,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bull_only,wmean,sig_bull_only_wmean,仅看多情绪 × Influence,ind_ret_5m,0,39,-0.2395,-0.002365,0.033763,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_momentum_daily,sum,sig_momentum_daily_sum,跟随行业情绪动量（非反转）,ind_ret_5m,0,39,-0.2419,-0.001744,0.022046,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_sentiment_x_likes,sum,sig_sentiment_x_likes_sum,Sentiment × log(1+likes),ind_ret_5m,0,39,-0.2433,-0.002139,0.009274,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_engagement,sum,sig_engagement_sum,情绪 × 相对自身互动惊喜度,ind_ret_5m,0,39,-0.2466,-0.001295,0.022071,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_views_weighted,sum,sig_views_weighted_sum,情绪 × log(views),ind_ret_5m,0,39,-0.2546,-0.001076,0.011218,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bull_x_eng,sum,sig_bull_x_eng_sum,看多帖 × 互动惊喜（对照）,ind_ret_5m,0,39,-0.2652,-0.002786,0.037501,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_attention,sum,sig_attention_sum,Influence × sign(Sentiment),ind_ret_5m,0,39,-0.2916,-0.00337,0.014025,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_original_post,sum,sig_original_post_sum,非转发帖 × Sentiment × Influence,ind_ret_5m,0,39,-0.3128,-0.001929,0.01258,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_rank_weighted,sum,sig_rank_weighted_sum,Sentiment × Influence × Top排名权重,ind_ret_5m,0,39,-0.3157,-0.003482,-0.023914,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_baseline,sum,sig_baseline_sum,Sentiment × Influence（原版）,ind_ret_5m,0,39,-0.3173,-0.002303,0.006802,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_momentum,sum,sig_momentum_sum,跟随情绪 × 影响力（非反转）,ind_ret_5m,0,39,-0.3173,-0.002303,0.006802,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_attention_raw,sum,sig_attention_raw_sum,纯 Influence（无情绪）,ind_ret_5m,0,39,-0.3224,-0.002222,0.06628,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_top_rank_only,sum,sig_top_rank_only_sum,仅行业排名前3 KOL,ind_ret_5m,0,39,-0.3258,-0.000961,-0.02305,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_bull_only,sum,sig_bull_only_sum,仅看多情绪 × Influence,ind_ret_5m,0,39,-0.3268,-0.002883,0.033763,ai_tech,AI / 大模型,all,5m,5分钟,638
sig_sentiment_delta_contra,sum,sig_sentiment_delta_contra_sum,情绪突变反转 × 影响力,ind_ret_5m,0,15,0.7333,0.006675,0.03485,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian_top3,sum,sig_contrarian_top3_sum,仅Top3 KOL的反转信号（日频 sum）,ind_ret_5m,0,15,0.617,0.001769,0.013622,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_consensus_contrarian,sum,sig_consensus_contrarian_sum,行业共识情绪反转（|均值|×影响力）,ind_ret_5m,0,15,0.6127,0.003742,-0.003625,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_nlp_minus_lex,sum,sig_nlp_minus_lex_sum,NLP 与词典差 × 反转,ind_ret_5m,0,15,0.6092,0.001769,0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian,sum,sig_contrarian_sum,−Sentiment × Influence（反转）,ind_ret_5m,0,15,0.607,0.001769,0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian_orig,sum,sig_contrarian_orig_sum,仅原创帖（非 RT）反转,ind_ret_5m,0,15,0.6012,0.003303,0.01152,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian_x_viral,sum,sig_contrarian_x_viral_sum,反转 × 互动惊喜度（连续加权）,ind_ret_5m,0,15,0.5954,0.002057,0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bull_fade,sum,sig_bull_fade_sum,仅明显看多帖反转（拥挤做多）,ind_ret_5m,0,15,0.5825,0.002402,-0.001781,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_dispersion_contrarian,sum,sig_dispersion_contrarian_sum,高分歧日 × 情绪反转,ind_ret_5m,0,15,0.5813,0.000388,-0.00254,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_strong_bull_fade,sum,sig_strong_bull_fade_sum,强看多 (s>0.2) 反转,ind_ret_5m,0,15,0.5748,0.002402,-0.001781,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_viral_contrarian,sum,sig_viral_contrarian_sum,高互动惊喜帖才做情绪反转,ind_ret_5m,0,15,0.5697,0.004721,0.012134,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_post_burst_contrarian,sum,sig_post_burst_contrarian_sum,发帖密集日 × 情绪反转,ind_ret_5m,0,15,0.5668,0.001769,-0.003625,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_surprise_contrarian,sum,sig_surprise_contrarian_sum,相对该 KOL 历史情绪的意外 × 反转,ind_ret_5m,0,15,0.5648,0.004875,0.008479,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_imbalance_contrarian,sum,sig_imbalance_contrarian_sum,情绪方向 × 影响力反转,ind_ret_5m,0,15,0.5589,0.001483,-0.006266,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_extreme_contrarian,sum,sig_extreme_contrarian_sum,仅极端情绪帖（|s|≥0.2）反转,ind_ret_5m,0,15,0.5557,0.001996,0.002427,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian_views,sum,sig_contrarian_views_sum,反转 × log(views),ind_ret_5m,0,15,0.5464,0.001023,-0.009652,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_kol_breadth_contrarian,sum,sig_kol_breadth_contrarian_sum,参与 KOL 数 × 情绪反转,ind_ret_5m,0,15,0.5002,0.004436,-0.003625,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_unanimity_contrarian,sum,sig_unanimity_contrarian_sum,低分歧时加强反转（一致预期）,ind_ret_5m,0,15,0.4411,0.003742,-0.003625,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bull_fade,wmean,sig_bull_fade_wmean,仅明显看多帖反转（拥挤做多）,ind_ret_5m,0,15,0.4172,0.003059,-0.001781,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian_views,wmean,sig_contrarian_views_wmean,反转 × log(views),ind_ret_5m,0,15,0.4139,0.003795,0.01152,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian_top3,wmean,sig_contrarian_top3_wmean,仅Top3 KOL的反转信号（日频 sum）,ind_ret_5m,0,15,0.3953,0.002832,0.013622,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian,wmean,sig_contrarian_wmean,−Sentiment × Influence（反转）,ind_ret_5m,0,15,0.3898,0.002832,0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian_x_viral,wmean,sig_contrarian_x_viral_wmean,反转 × 互动惊喜度（连续加权）,ind_ret_5m,0,15,0.3865,0.00419,0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_nlp_minus_lex,wmean,sig_nlp_minus_lex_wmean,NLP 与词典差 × 反转,ind_ret_5m,0,15,0.386,0.002832,0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_strong_bull_fade,wmean,sig_strong_bull_fade_wmean,强看多 (s>0.2) 反转,ind_ret_5m,0,15,0.3826,0.003059,-0.001781,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_imbalance_contrarian,wmean,sig_imbalance_contrarian_wmean,情绪方向 × 影响力反转,ind_ret_5m,0,15,0.3824,0.005114,-0.006266,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_contrarian_orig,wmean,sig_contrarian_orig_wmean,仅原创帖（非 RT）反转,ind_ret_5m,0,15,0.3806,0.004713,0.01152,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_rank1_contrarian,sum,sig_rank1_contrarian_sum,仅行业 #1 KOL 反转,ind_ret_5m,0,15,0.3753,0.001769,0.013622,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_extreme_contrarian,wmean,sig_extreme_contrarian_wmean,仅极端情绪帖（|s|≥0.2）反转,ind_ret_5m,0,15,0.3379,0.001628,0.002427,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_viral_contrarian,wmean,sig_viral_contrarian_wmean,高互动惊喜帖才做情绪反转,ind_ret_5m,0,15,0.3371,0.004721,0.012134,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_surprise_contrarian,wmean,sig_surprise_contrarian_wmean,相对该 KOL 历史情绪的意外 × 反转,ind_ret_5m,0,15,0.2754,0.003451,0.008479,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bear_crowd,sum,sig_bear_crowd_sum,看空帖占比 × 情绪反转（恐慌反弹）,ind_ret_5m,0,15,0.214,-0.000117,-0.000624,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bear_bounce,wmean,sig_bear_bounce_wmean,仅明显看空帖反转（恐慌反弹）,ind_ret_5m,0,15,0.2118,0.001859,0.003264,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_rank1_contrarian,wmean,sig_rank1_contrarian_wmean,仅行业 #1 KOL 反转,ind_ret_5m,0,15,0.1394,0.001532,0.013622,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bear_x_eng,wmean,sig_bear_x_eng_wmean,看空帖 × 互动惊喜 × 反转,ind_ret_5m,0,15,0.1362,-0.000567,0.000199,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_strong_bear_only,wmean,sig_strong_bear_only_wmean,强看空 (s<-0.2) 反转,ind_ret_5m,0,15,0.1285,-0.003041,-0.00805,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_dual_confirm_contra,wmean,sig_dual_confirm_contra_wmean,看空 + 高互动双重确认反转,ind_ret_5m,0,15,0.1175,-0.000389,-0.003417,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bear_only,sum,sig_bear_only_sum,仅看空情绪 × Influence,ind_ret_5m,0,15,0.0635,0.001085,0.003779,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_rt_contrarian,wmean,sig_rt_contrarian_wmean,仅转发帖反转,ind_ret_5m,0,15,0.0326,-0.000386,-0.004559,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bear_bounce,sum,sig_bear_bounce_sum,仅明显看空帖反转（恐慌反弹）,ind_ret_5m,0,15,0.0211,-0.000294,0.003264,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_rt_contrarian,sum,sig_rt_contrarian_sum,仅转发帖反转,ind_ret_5m,0,15,0.0193,-0.000386,-0.004559,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bear_x_eng,sum,sig_bear_x_eng_sum,看空帖 × 互动惊喜 × 反转,ind_ret_5m,0,15,-0.1215,-0.000567,0.000199,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_attention_raw,wmean,sig_attention_raw_wmean,纯 Influence（无情绪）,ind_ret_5m,0,15,-0.132,0.00283,0.006266,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_strong_bear_only,sum,sig_strong_bear_only_sum,强看空 (s<-0.2) 反转,ind_ret_5m,0,15,-0.1335,-0.003041,-0.00805,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_rank1_momentum,wmean,sig_rank1_momentum_wmean,仅行业 #1 KOL 跟随,ind_ret_5m,0,15,-0.1394,-0.001532,-0.013622,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_dual_confirm_contra,sum,sig_dual_confirm_contra_sum,看空 + 高互动双重确认反转,ind_ret_5m,0,15,-0.141,-0.000389,-0.003417,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bear_crowd_strict,sum,sig_bear_crowd_strict_sum,严格恐慌：bear_ratio>0.5 才 bear_crowd,ind_ret_5m,0,15,-0.1944,-0.000235,-0.001567,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bear_only,wmean,sig_bear_only_wmean,仅看空情绪 × Influence,ind_ret_5m,0,15,-0.1993,-0.000937,0.003779,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_attention,wmean,sig_attention_wmean,Influence × sign(Sentiment),ind_ret_5m,0,15,-0.2454,-0.004317,-0.023086,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_disagreement,sum,sig_disagreement_sum,sig_disagreement,ind_ret_5m,0,15,-0.2629,-0.00086,-0.000951,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_engagement,wmean,sig_engagement_wmean,情绪 × 相对自身互动惊喜度,ind_ret_5m,0,15,-0.3378,-0.003156,-0.008454,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_bull_x_eng,wmean,sig_bull_x_eng_wmean,看多帖 × 互动惊喜（对照）,ind_ret_5m,0,15,-0.3422,-0.003156,0.008263,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_rank_weighted,wmean,sig_rank_weighted_wmean,Sentiment × Influence × Top排名权重,ind_ret_5m,0,15,-0.3476,-0.001401,-0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_rank1_momentum,sum,sig_rank1_momentum_sum,仅行业 #1 KOL 跟随,ind_ret_5m,0,15,-0.3753,-0.001769,-0.013622,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_original_post,wmean,sig_original_post_wmean,非转发帖 × Sentiment × Influence,ind_ret_5m,0,15,-0.3806,-0.004713,-0.01152,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_baseline,wmean,sig_baseline_wmean,Sentiment × Influence（原版）,ind_ret_5m,0,15,-0.3898,-0.002832,-0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_momentum,wmean,sig_momentum_wmean,跟随情绪 × 影响力（非反转）,ind_ret_5m,0,15,-0.3898,-0.002832,-0.011772,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
sig_top_rank_only,wmean,sig_top_rank_only_wmean,仅行业排名前3 KOL,ind_ret_5m,0,15,-0.3953,-0.002832,-0.013622,ai_tools,AI 工具 / Agent,all,5m,5分钟,638
